PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1308.41,3.4715,34.5719,34.5719,3.4715,1308.28,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1318.3,3.4355,34.5729,34.5729,3.4355,1318.17,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1328.08,3.4173,34.5735,34.5735,3.4173,1327.95,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1337.84,3.3838,34.5754,34.5754,3.3838,1337.71,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1348.12,3.3541,34.5768,34.5768,3.3541,1347.99,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1358,3.3329,34.5781,34.5781,3.3329,1357.87,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1368.01,3.2971,34.5801,34.5801,3.2971,1367.88,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1378.45,3.2804,34.581,34.581,3.2804,1378.32,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1387.65,3.2759,34.5807,34.5807,3.2759,1387.52,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1398.03,3.2443,34.5812,34.5812,3.2443,1397.9,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
